Date/Heure,Énergie produite (Wh),Énergie consommée (Wh),Exportée vers le réseau (Wh),Importée depuis le réseau (Wh)
2022-08-14 18:15:00 +0200,266,645,0,379
2022-08-14 18:30:00 +0200,180,632,0,452
